Feature1,Feature2,Feature3,Feature4,Feature5
sridhar,Male,Y,Doctorate,america
gautam,Male,N,Doctorate,america
senthil,Male,Y,Graduate,canada
kumar,Male,Y,Doctorate,canada
kavin,Male,N,Doctorate,india
parvathi,Female,N,Doctorate,america
srunitha,Female,N,Doctorate,america
midhila,Female,N,Graduate,canada
reshma,Female,Y,Graduate,america
deepak,Male,Y,Graduate,america
sundeep,Male,Y,Graduate,america
lolith,Male,Y,Graduate,london
vikram,Male,Y,Graduate,america
pranav,Male,Y,Doctorate,america
balaji,Male,Y,Doctorate,london
balraj,Male,Y,Graduate,canada
dhana,Male,N,Doctorate,america
naveen,Male,N,Graduate,america
deepan,Male,N,Doctorate,australia
kanagaraj,Male,Y,Doctorate,australia
jobince,Male,Y,Doctorate,dubai
hari,Male,Y,Doctorate,dubai
prakash,Male,Y,Graduate,canada
pradeep,Male,N,Graduate,australia
rahul,Male,N,Graduate,america
pramoth,Male,Y,Graduate,canada
bala,Male,N,Graduate,canada
murali,Male,N,Graduate,america
adharva,Male,Y,Doctorate,australia
kesav,Male,N,Doctorate,america
sundar,Male,N,Doctorate,london
karthik,Male,Y,Doctorate,america
sathyan,Male,Y,Doctorate,canada
chandrasekar,Male,N,Graduate,australia
chandran,Male,Y,Graduate,london
kanagavel,Male,Y,Graduate,australia
subbaiyan,Male,N,Graduate,australia
uma,Female,Y,Graduate,australia
latha,Female,N,Graduate,australia
bindhu,Female,N,Graduate,canada
trilekha,Female,N,Graduate,canada
vijaya,Female,N,Doctorate,canada
vijayan,Female,N,Graduate,australia
sanjeevi,Male,N,Graduate,canada
gandhi,Male,Y,Graduate,canada
nehru,Male,Y,Doctorate,america
mangai,Female,Y,Graduate,australia
ambi,Female,N,Graduate,dubai
nirmala,Female,N,Graduate,america
vedprakash,Male,Y,Doctorate,canada
vimal,Male,Y,Doctorate,australia
sriram,Male,Y,Doctorate,australia
sooraj,Male,N,Graduate,america
anusree,Female,Y,Graduate,america
aksith,Male,Y,Graduate,london
venu,Male,N,Doctorate,australia
gopal,Male,N,Graduate,america
chaduary,Male,N,Doctorate,australia
sathya,Female,Y,Graduate,america
lakshmi,Female,Y,Graduate,america
durai,Male,Y,Graduate,australia
swamy,Male,Y,Doctorate,canada
gulshan,Male,Y,Graduate,america
archana,Female,Y,Doctorate,canada
mythili,Female,Y,Graduate,america
sushma,Female,Y,Graduate,dubai
meena,Female,Y,Graduate,australia
meera,Female,Y,Doctorate,dubai
sita,Female,Y,Doctorate,dubai
ram,Male,N,Doctorate,america
lakshman,Male,N,Doctorate,australia
hanuman,Male,N,Doctorate,america
bharathan,Male,Y,Doctorate,australia
sathruganan,Male,N,Graduate,america
bheeman,Male,Y,Graduate,america
nakulan,Male,N,Doctorate,america
neelan,Male,N,Graduate,canada
karnan,Male,N,Doctorate,india
john,Male,Y,Graduate,india
kareena,Female,N,Graduate,india
hansika,Female,N,Doctorate,india
kushboo,Female,N,Doctorate,india
ramya,Female,N,Graduate,america
krishna,Female,N,Graduate,canada
surya,Male,Y,Doctorate,india
jothika,Female,Y,Graduate,india
velan,Male,N,Doctorate,america
shanmugam,Male,N,Doctorate,america
arumugam,Male,N,Graduate,america
vinayak,Male,N,Graduate,america
